Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
thewolfman,0.333333333333333,English,103,5.8,Live Action,"Horror, Drama, Thriller, Fantasy",1,1,0,0,1,0,0,0,0,0,0,0,0,1,Benicio Del Toro,Emily Blunt,Joe Johnston,150,139.79,1106941,3618,6.4,2000,Flop
beemovie,,English,91,6.1,Animated,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",0,0,0,1,0,1,1,0,0,0,1,0,0,1,Jerry Seinfeld,Renée Zellweger,Steve Hickner,150,287.59,2312775,3582,6,1000,Hit
kungfupanda2,,English,90,7.2,Animated,"Animation, Action, Adventure, Comedy, Family, Fantasy, Martial Arts, Superhero",0,0,0,1,0,1,1,0,0,0,1,0,0,1,Jack Black,Angelina Jolie,Jennifer Yuh Nelson,150,665.69,2191055,3955,7.4,2641,Blockbuster
thelastairbender,,English,103,4,Animated,"Action, Adventure, Fantasy",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Noah Ringer,Dev Patel,M. Night Shyamalan,150,318.76,1306100,3192,5,1500,Flop
missionimpossibleiii,0,English,126,6.9,Animated,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,0,0,0,0,0,1,Tom Cruise,Michelle Monaghan,J.J. Abrams,150,397.85,3483218,3912,6.9,3434,Hit
whitehousedown,0.25,English,131,6.4,Live Action,"Action, Drama, Thriller",0,1,0,1,1,1,0,0,0,0,0,0,0,0,Channing Tatum,Jamie Foxx,Roland Emmerich,150,205.37,1679054,3728,6.6,500,Hit
marsneedsmoms,0.3,English,88,5.4,Animated,"Animation, Adventure, Comedy, Family, Sci-Fi",0,0,0,1,0,0,1,0,0,0,1,0,0,1,Seth Green,Joan Cusack,Simon Wells,150,39.23,1026764,3101,6,1000,Disaster
flushedaway,0.35,English,85,6.6,Animated,"Animation, Adventure, Comedy, Family, Slapstick",0,0,0,1,0,0,1,0,0,0,1,0,0,0,Hugh Jackman,Kate Winslet,Peter Lord,150,179.37,2522790,3606,6.5,300,Average
pan,0.15,English,111,5.7,Animated,"Adventure, Family, Fantasy, Musical, Drama, Comedy, Animation, Fantasy",1,1,0,1,0,0,1,0,0,0,1,0,0,1,Levi Miller,Rooney Mara,Joe Wright,150,128.39,3978739,3903,6.1,4000,Disaster
mrpeabodysherman,,English,92,6.8,Animated,"Animation, Adventure, Comedy, Family, Sci-Fi",1,0,0,1,0,0,1,0,0,0,1,0,0,1,Ty Burrell,Max Charles,Rob Minkoff,150,275.71,1068764,3753,7.4,1000,Hit
troy,0.315789473684211,English,163,7.2,Live Action,"Action, Adventure, Drama, History",0,1,0,1,0,0,0,0,0,0,0,0,1,0,Brad Pitt,Eric Bana,Wolfgang Petersen,150,497.41,3165607,3474,6.6,1000,Hit
madagascar3europesmostwanted,0,English,93,6.8,Animated,"Animation, Adventure, Comedy, Family, Circus, 3D",1,0,0,1,0,0,1,0,0,0,1,0,0,1,Ben Stiller,Jada Pinkett Smith,Eric Darnell,150,746.92,2606764,4087,7.5,3000,Blockbuster
dieanotherday,0.6,English,133,6.1,Live Action,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,0,0,0,0,0,1,Pierce Brosnan,Halle Berry,Lee Tamahori,150,431.97,1539754,3645,6.1,1000,Hit
ghostbusters,0.45,English,105,5.2,Animated,"Comedy, Fantasy, Sci-Fi",0,0,0,0,0,0,0,0,0,0,1,1,0,1,Theodore Shapiro,Melissa McCarthy,Paul Feig,150,229.15,1072455,3922,6.1,1000,Blockbuster
armageddon,0,English,151,6.7,Animated,"Action, Adventure, Drama, Sci-Fi, Thriller",0,1,0,1,1,1,0,0,0,0,0,0,0,1,Trevor Rabin,Bruce Willis,Michael Bay,150,553.71,1788500,3399,7,900,Blockbuster
meninblackii,0.25,English,88,6.2,Animated,"Comedy, Sci-Fi, Action, Adventure, Mystery, 3D",0,0,0,1,0,1,0,0,1,0,1,0,0,1,Danny Elfman,Tommy Lee Jones,Barry Sonnenfeld,150,441.82,2548061,3515,6.3,1000,Hit
beowulf,,English,115,6.2,Live Action,"Animation, Action, Adventure",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ray Winstone,Angelina Jolie,Robert Zemeckis,150,163.71,13440546,15,7,1000,Hit
kungfupanda3,,English,95,7.1,Animated,"Animation, Action, Adventure",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Jack Black,Angelina Jolie,Alessandro Carloni,145,521.17,16732066,82,7.3,1000,Hit
missionimpossibleghostprotocol,0.35,English,133,7.4,Live Action,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,0,0,0,0,0,0,Tom Cruise,Paula Patton,Brad Bird,145,694.71,30589352,134,7.5,3000,Blockbuster
riseoftheguardians,,English,97,7.3,Animated,"Animation, Action, Adventure",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Hugh Jackman,Isla Fisher,Peter Ramsey,145,306.94,14851747,76,7.1,3000,Average
funwithdickandjane,0,English,90,6.1,Live Action,"Comedy, Crime, Romance",0,1,0,0,0,0,0,1,0,0,1,0,1,0,Jim Carrey,Téa Leoni,Dean Parisot,100,202.02,2875348,34,6.4,3000,Hit
thelastsamurai,0.666666666666667,English,154,7.7,Live Action,"Action, Drama, War",0,1,0,0,0,1,0,0,0,0,0,0,0,0,Tom Cruise,Ken Watanabe,Edward Zwick,140,456.81,12357211,83,8,2500,Hit
exodusgodsandkings,0.2,English,150,6,Live Action,"Action, Adventure, Drama",0,1,0,1,0,0,0,0,0,0,0,0,0,0,Christian Bale,Joel Edgerton,Ridley Scott,140,268.03,14216894,69,7.4,1500,Average
startrek,0,English,127,7.9,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Chris Pine,Zachary Quinto,J.J. Abrams,140,385.68,12045854,43,7.8,3000,Blockbuster
spiderman,,English,121,7.3,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Tobey Maguire,Kirsten Dunst,Sam Raimi,140,821.71,18987727,100,8.4,1000,Blockbuster
howtotrainyourdragon2,,English,102,7.8,Animated,"Animation, Action, Adventure",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Jay Baruchel,Cate Blanchett,Dean DeBlois,140,621.53,13401964,61,7.6,500,Blockbuster
godsofegypt,0.2,English,127,5.4,Live Action,"Action, Adventure, Fantasy",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Brenton Thwaites,Nikolaj Coster-Waldau,Alex Proyas,140,150.7,8732211,61,6.8,1000,Flop
stealth,0.25,English,121,5,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Josh Lucas,Jessica Biel,Rob Cohen,140,77.14,4231234,44,6.1,500,Flop
watchmen,0.25,English,162,7.6,Live Action,"Action, Drama, Mystery",0,1,0,0,0,0,0,0,1,0,0,0,0,0,Jackie Earle Haley,Malin Akerman,Zack Snyder,140,185.25,14712875,38,6.9,1500,Average
lethalweapon4,1,English,127,6.6,Live Action,"Action, Crime, Thriller",0,0,0,0,1,1,0,0,0,0,0,0,1,0,Mel Gibson,Danny Glover,Richard Donner,140,285.4,6723211,63,6,3000,Hit
hulk,0.3,English,138,5.6,Live Action,"Action, Sci-Fi, Drama",0,1,0,0,0,1,0,0,0,0,0,0,1,1,Eric Bana,Jennifer Connelly,Ang Lee,140,245.36,9865432,56,6.2,3400,Average
gijoeretaliation,,English,110,5.8,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Dwayne Johnson,Adrianne Palicki,Jon M. Chu,130,375.74,22654980,66,7.1,4336,Hit
sahara,,English,124,6,Live Action,"Action, Adventure, Comedy",0,0,0,1,0,1,0,0,0,0,1,0,0,0,Matthew McConaughey,Penélope Cruz,Breck Eisner,130,119.27,7540211,61,7,2000,Flop
finalfantasythespiritswithin,0.4,English,106,6.4,Animated,"Animation, Action, Adventure",0,0,0,1,0,1,0,0,0,0,0,0,0,0,Ming-Na Wen,Alec Baldwin,Hironobu Sakaguchi,137,85.13,5432121,74,7.5,50,Disaster
captainamericathefirstavenger,0.2,English,124,6.9,Animated,"Action, Adventure, Sci-Fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Chris Evans,Hayley Atwell,Joe Johnston,140,370.57,9864432,68,7,2000,Blockbuster
theworldisnotenough,1,English,128,6.4,Live Action,Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pierce Brosnan,Sophie Marceau,Michael Apted,135,362.5,98,12.1,4.5,1000,Hit
masterandcommanderthefarsideoftheworld,0.65,English,138,7.4,Live Action,"Adventure, Drama, War",0,1,0,1,0,0,0,0,0,0,0,0,0,0,Russell Crowe,Paul Bettany,Peter Weir,150,212.01,5048384,9,8,2641,Hit
